,Country_Name,Series_Code,Series_Name
559,Afghanistan,7.8,Ensure environmental sustainability
618,Afghanistan,8.16,Develop a global partnership for development: Internet Use
753,Afghanistan,4.1,Reduce child mortality
1030,Afghanistan,6.1,Combat HIV/AIDS
1896,Albania,7.8,Ensure environmental sustainability
1955,Albania,8.16,Develop a global partnership for development: Internet Use
2090,Albania,4.1,Reduce child mortality
2690,Algeria,2.1,Achieve universal primary education
3233,Algeria,7.8,Ensure environmental sustainability
3292,Algeria,8.16,Develop a global partnership for development: Internet Use
3427,Algeria,4.1,Reduce child mortality
5966,Andorra,8.16,Develop a global partnership for development: Internet Use
6101,Andorra,4.1,Reduce child mortality
7244,Angola,7.8,Ensure environmental sustainability
7303,Angola,8.16,Develop a global partnership for development: Internet Use
7438,Angola,4.1,Reduce child mortality
7715,Angola,6.1,Combat HIV/AIDS
8038,Antigua and Barbuda,2.1,Achieve universal primary education
8581,Antigua and Barbuda,7.8,Ensure environmental sustainability
8640,Antigua and Barbuda,8.16,Develop a global partnership for development: Internet Use
8775,Antigua and Barbuda,4.1,Reduce child mortality
9918,Argentina,7.8,Ensure environmental sustainability
9977,Argentina,8.16,Develop a global partnership for development: Internet Use
10112,Argentina,4.1,Reduce child mortality
10389,Argentina,6.1,Combat HIV/AIDS
11255,Armenia,7.8,Ensure environmental sustainability
11314,Armenia,8.16,Develop a global partnership for development: Internet Use
11449,Armenia,4.1,Reduce child mortality
11726,Armenia,6.1,Combat HIV/AIDS
12592,Aruba,7.8,Ensure environmental sustainability
12651,Aruba,8.16,Develop a global partnership for development: Internet Use
13386,Australia,2.1,Achieve universal primary education
13988,Australia,8.16,Develop a global partnership for development: Internet Use
14123,Australia,4.1,Reduce child mortality
15325,Austria,8.16,Develop a global partnership for development: Internet Use
15460,Austria,4.1,Reduce child mortality
16060,Azerbaijan,2.1,Achieve universal primary education
16603,Azerbaijan,7.8,Ensure environmental sustainability
16662,Azerbaijan,8.16,Develop a global partnership for development: Internet Use
16797,Azerbaijan,4.1,Reduce child mortality
17074,Azerbaijan,6.1,Combat HIV/AIDS
17940,"Bahamas, The",7.8,Ensure environmental sustainability
17999,"Bahamas, The",8.16,Develop a global partnership for development: Internet Use
18134,"Bahamas, The",4.1,Reduce child mortality
