,2005,2006,2007
559,0.395,0.43,0.465
618,0.0122414808372471,0.0210712364546412,0.019
753,0.1177,0.1145,0.1115
1030,0.001,0.001,0.001
1896,0.962,0.962,0.961
1955,0.0604389086404814,0.0960999131577118,0.15036115408410902
2090,0.0222,0.0212,0.0203
2690,0.9462352,0.942501,0.9390029000000001
3233,0.8590000000000001,0.852,0.8440000000000001
3292,0.05843942092012561,0.0737598495634886,0.0945119062555304
3427,0.0263,0.0251,0.0241
5966,0.376057662174867,0.489368469989479,0.7087
6101,0.0041,0.004,0.0038
7244,0.488,0.495,0.502
7303,0.011433668265594998,0.0190764750723428,0.032
7438,0.1942,0.1911,0.1871
7715,0.02,0.02,0.021
8038,0.9182146000000001,0.9182146000000001,0.9182146000000001
8581,0.978,0.978,0.979
8640,0.27,0.3,0.34
8775,0.0128,0.0123,0.0118
9918,0.975,0.977,0.979
9977,0.17720583369606502,0.209272021035896,0.259466329403819
10112,0.0171,0.0165,0.0159
10389,0.004,0.004,0.004
11255,0.955,0.961,0.967
11314,0.0525298335195804,0.0563178777731609,0.0602125339712607
11449,0.0234,0.0223,0.0211
11726,0.001,0.001,0.001
12592,0.958,0.962,0.965
12651,0.254,0.28,0.309
13386,0.9467774,0.9477388,0.9626130999999999
13988,0.63,0.66,0.6945
14123,0.0056,0.0055,0.0053
15325,0.58,0.636,0.6937000000000001
15460,0.0048,0.0046,0.0044
16060,0.8395353999999999,0.8377200999999999,0.8345841
16603,0.779,0.7859999999999999,0.7929999999999999
16662,0.0803037535616454,0.119921773343674,0.1454
16797,0.0512,0.0481,0.0453
17074,0.001,0.002,0.002
17940,0.973,0.975,0.976
17999,0.25,0.26,0.27
18134,0.0183,0.0183,0.0182
18411,0.034,0.034,0.035
19336,0.213037335136591,0.28243952431804303,0.32909999999999995
19471,0.0112,0.011000000000000001,0.0108
20614,0.7979999999999999,0.805,0.812
20673,0.0024163732563671,0.01,0.018000000000000002
20808,0.0677,0.0634,0.0591
21085,0.001,0.001,0.001
21951,0.998,0.998,0.998
22010,0.525,0.5529999999999999,0.5820000000000001
22145,0.0202,0.0202,0.0201
22422,0.008,0.009000000000000001,0.009000000000000001
23288,0.996,0.996,0.996
23347,0.162,0.162,0.197
23435,0.0001,0.00011999999999999999,5.9999999999999995e-05
23482,0.0094,0.0087,0.0079
23759,0.003,0.003,0.003
24082,0.9672166999999999,0.9724736999999999,0.9858964
24684,0.5582,0.5972,0.6444
24819,0.004900000000000001,0.0048,0.0047
25419,0.9811573,0.9921791,0.9897484000000001
25962,0.911,0.923,0.935
26021,0.0921028860085089,0.104016781374062,0.1086
26156,0.0214,0.0209,0.0205
26433,0.018000000000000002,0.017,0.017
27299,0.706,0.715,0.7240000000000001
27358,0.0127103143947107,0.0153785434624704,0.0179
27493,0.1199,0.1139,0.1086
27770,0.014,0.013,0.013
28695,0.654470657898838,0.698996551617012,0.7435059403026691
29973,0.91,0.921,0.932
30032,0.0384710674490143,0.045183172581646,0.0592
30167,0.061,0.0577,0.054700000000000006
30444,0.001,0.001,0.002
31310,0.8320000000000001,0.841,0.8490000000000001
31369,0.052275839566319614,0.0620067125473576,0.10499244316890301
31504,0.0584,0.0551,0.052000000000000005
31781,0.004,0.004,0.003
32647,0.984,0.986,0.988
32706,0.213267010007738,0.251223856852117,0.2792
32841,0.0089,0.0088,0.0086
33984,0.959,0.961,0.962
34043,0.0326255403605122,0.042899329751596806,0.0528
34178,0.0669,0.0631,0.0623
34455,0.257,0.252,0.248
35321,0.953,0.956,0.959
35380,0.21022747248827,0.28178380179792895,0.3088
35515,0.0231,0.0215,0.02
36717,0.364663919475782,0.42186349160930703,0.4468
36852,0.0087,0.0086,0.0085
37452,0.9380165,0.9231225,0.9567075999999999
37995,0.996,0.996,0.996
38054,0.1997,0.2709,0.33640000000000003
38189,0.0159,0.015,0.0143
38789,0.4596759,0.4962345,0.5494637
39332,0.691,0.71,0.728
39391,0.004699144886566571,0.00632707564461829,0.0075
39526,0.1596,0.1507,0.1411
39803,0.014,0.013,0.012
40669,0.733,0.735,0.738
40728,0.00542142865759056,0.00657592590351907,0.006999999999999999
40863,0.1341,0.12940000000000002,0.1247
41140,0.018000000000000002,0.016,0.015
41463,0.9613563,0.9500745999999999,0.9402674999999999
42006,0.8540000000000001,0.8590000000000001,0.865
42065,0.0607408710659813,0.0680891100753313,0.0828321981953034
42200,0.0287,0.0275,0.0265
42477,0.003,0.003,0.003
42800,0.9827808000000001,0.9827808000000001,0.9831492
43343,0.539,0.564,0.588
43402,0.0031732178108965603,0.00468356720063827,0.0049
43537,0.0634,0.0579,0.0532
43814,0.011,0.011,0.01
44680,0.669,0.68,0.69
44739,0.0140265422575955,0.020287447914719,0.029300000000000007
44874,0.1241,0.1198,0.1154
45151,0.051,0.05,0.049
46017,0.998,0.998,0.998
46076,0.7166,0.7240000000000001,0.732
46211,0.0061,0.006,0.005900000000000001
47354,0.946,0.948,0.951
47413,0.380343830823064,0.445,0.52
48148,0.495985,0.4994345,0.5844265000000001
48691,0.648,0.652,0.657
48750,0.00268195609199012,0.00311159173235716,0.0037581596104479696
48885,0.15680000000000002,0.15369999999999998,0.1505
50028,0.472,0.477,0.482
50087,0.0039925770008400405,0.00581045764229641,0.00847224520710968
50222,0.1764,0.1736,0.1704
50499,0.035,0.033,0.032
52159,0.9492944,0.9492944,0.9492944
52702,0.967,0.97,0.974
52761,0.31175347030368394,0.34497751173601693,0.359
52896,0.0092,0.0091,0.0091
53173,0.003,0.003,0.003
54039,0.863,0.8740000000000001,0.885
54098,0.0852325700269541,0.105231526193851,0.16
54186,0.0004770000000000001,0.000411,0.000366
54233,0.0239,0.0218,0.02
54833,0.9596359,0.9496566999999999,0.9383018
55376,0.905,0.906,0.907
55435,0.110072638904585,0.153416745365682,0.218
55570,0.0217,0.0211,0.0205
55847,0.006,0.005,0.005
56772,0.02,0.022,0.025
56907,0.0939,0.0918,0.0897
57184,0.001,0.001,0.001
58050,0.449,0.451,0.453
58109,0.00238037798692792,0.0029605361030881,0.0037
