,2008 [YR2008],2012 [YR2012]
559,0.49774540682414703,0.5440303030303031
618,0.025440196022241512,0.03175817133040782
753,0.10824619422572179,0.10392121212121214
1030,0.001,0.001
1896,0.9606299212598426,0.9599090909090909
1955,0.15860349870989923,0.1975920539101412
2090,0.019126509186351698,0.017684848484848477
2690,0.9451576679790027,0.9467468333333335
3233,0.8372729658792653,0.8274848484848486
3292,0.10698741626797215,0.1282515661881883
3427,0.02248923884514436,0.020660606060606063
5966,0.7568806278753875,0.9143201328314102
6101,0.0036556430446194237,0.00343939393939394
7244,0.5082887139107612,0.5173939393939394
7303,0.03188506701242833,0.039449067977002775
7438,0.18604593175853018,0.18285151515151518
7715,0.021112860892388455,0.02160606060606061
8038,0.9182146000000001,0.9182146000000001
8581,0.9789842519685038,0.9793636363636362
8640,0.3878668332366905,0.4442234404432337
8775,0.011249606299212598,0.010536363636363637
9918,0.9808897637795276,0.9835454545454546
9977,0.2747866296988945,0.31426042220437495
10112,0.015216535433070867,0.014336363636363637
10389,0.004,0.004
11255,0.9726692913385826,0.9806363636363635
11314,0.07068711084493533,0.07972705497037533
11449,0.0199002624671916,0.018287878787878787
11726,0.001,0.001
12592,0.9679553805774278,0.9722424242424242
12651,0.32800262467191604,0.3600606060606061
13386,0.9583198199475065,0.9620311060606058
13988,0.6863503937007875,0.7020000000000001
14123,0.0052010498687664036,0.005015151515151514
15325,0.7676905511811025,0.8551272727272727
15460,0.004243569553805775,0.003996969696969697
16060,0.8333269320209972,0.8309321666666665
16603,0.8004540682414697,0.8103939393939394
16662,0.15326256884026954,0.17855171857074134
16797,0.04138608923884514,0.03674242424242424
17074,0.002120734908136483,0.0024242424242424242
17940,0.9775196850393701,0.9794545454545456
17999,0.2949606299212599,0.32
18134,0.018461154855643043,0.018593939393939395
18411,0.034333333333333334,0.034333333333333334
19336,0.3319282601405491,0.3676694838837615
19471,0.010611023622047244,0.010345454545454547
20614,0.8193254593175853,0.8291515151515152
20673,0.01658793157958359,0.020704770715597953
20808,0.055380577427821515,0.0499060606060606
21085,0.001,0.001
21951,0.9980000000000001,0.9980000000000001
22010,0.6703885640610024,0.7467774248066341
22145,0.020555643044619425,0.020821212121212122
22422,0.009120734908136485,0.009424242424242425
23288,0.9960000000000001,0.9960000000000001
23347,0.2083649872428485,0.2356304768807682
23435,5.262467191601049e-05,2.15151515151515e-05
23482,0.007136482939632544,0.006096969696969696
23759,0.0033858267716535433,0.0037272727272727275
24082,0.9720831023622046,0.9697283999999999
24684,0.6700758530183727,0.716269696969697
24819,0.00452755905511811,0.004345454545454545
25419,0.9881632419947508,0.988113887878788
25962,0.9463385826771653,0.9622727272727272
26021,0.12208329713846634,0.13850443772305687
26156,0.019882939632545928,0.01916969696969697
26433,0.016879265091863518,0.016575757575757577
27299,0.732503937007874,0.7444545454545455
27358,0.019561478293890888,0.02232466542500077
27493,0.1026283464566929,0.09471818181818181
27770,0.0124251968503937,0.011818181818181818
28695,0.7857941712907139,0.8450479857780393
29973,0.9428477690288717,0.957757575757576
30032,0.06363713857771372,0.07431882922136555
30167,0.051025459317585314,0.046396969696969714
30444,0.0016587926509186353,0.0018484848484848486
31310,0.8571338582677165,0.8683636363636363
31369,0.10004197728515164,0.1174079719927732
31504,0.04828162729658793,0.04358484848484849
31781,0.0033412073490813646,0.0031515151515151513
32647,0.989503937007874,0.9918181818181818
32706,0.35335900046508517,0.42760013952943976
32841,0.00853963254593176,0.00838787878787879
33984,0.964230971128609,0.9666969696969697
34043,0.05018332262054487,0.05483544084493626
34178,0.05411889763779528,0.046918181818181824
34455,0.24137532808398948,0.23393939393939392
35321,0.9625459317585301,0.967060606060606
35380,0.35558497200058414,0.41458468269551746
35515,0.018161942257217848,0.015866666666666664
36717,0.531079487844266,0.6150279316257221
36852,0.008334383202099737,0.008148484848484846
37452,0.9288763141732282,0.9183675181818179
37995,0.9955459317585301,0.9952424242424242
38054,0.36703280839895014,0.43144848484848497
38189,0.013180839895013119,0.011875757575757573
38789,0.5719509553805775,0.6201187515151515
39332,0.7455826771653542,0.7700909090909089
39391,0.008248134255151128,0.00961105675946675
39526,0.13557664041994752,0.1253787878787879
39803,0.0102755905511811,0.00845454545454545
40669,0.7407139107611549,0.7443939393939394
40728,0.00868098655095021,0.010377175682944394
40863,0.12124593175853021,0.11564242424242427
41140,0.012443569553805774,0.009787878787878786
41463,0.9308206477690288,0.9171369848484846
42006,0.8697690288713912,0.8769393939393941
42065,0.08873972886538917,0.10089127640206767
42200,0.02488923884514436,0.023060606060606063
42477,0.0022887139107611544,0.0017575757575757573
42800,0.9850980115485565,0.9872161272727273
43343,0.6119632545931759,0.644969696969697
43402,0.005363983575404621,0.006105804701682391
43537,0.044155118110236216,0.034636363636363625
43814,0.009175853018372702,0.008151515151515151
44680,0.6998950131233596,0.7136666666666667
44739,0.031128439278449833,0.03780393057256275
44874,0.11008845144356955,0.10346060606060606
45151,0.04838057742782153,0.04724242424242425
46017,0.9980000000000001,0.9980000000000001
46076,0.7686285023840203,0.8021423866380548
46211,0.005889501312335958,0.005821212121212123
47354,0.953002624671916,0.9561515151515152
47413,0.5022157054649319,0.5360662535902152
48148,0.5558430800524935,0.5730123484848485
48691,0.6612782152230973,0.6674242424242426
48750,0.004163380774726061,0.004831088183048553
48885,0.14932887139107612,0.1463848484848485
50028,0.4867244094488189,0.49336363636363634
50087,0.008617811077733841,0.010221212262347484
50222,0.16824041994750658,0.16469696969696968
50499,0.030934383202099743,0.029303030303030303
52159,0.9492944,0.9492944
52702,0.9772729658792652,0.981939393939394
52761,0.393050518487882,0.4306358853435096
52896,0.008866929133858269,0.008700000000000003
53173,0.0025459317585301827,0.002242424242424242
54039,0.8965590551181103,0.912
54098,0.15866289977080972,0.185680453385481
54186,0.0003595275590551182,0.0003203181818181819
54233,0.0173753280839895,0.014275757575757574
54833,0.941825891863517,0.9372552393939393
55376,0.9083307086614173,0.9099999999999999
55435,0.22541462093001813,0.2678096229448918
55570,0.01985511811023622,0.01900909090909091
55847,0.0048792650918635175,0.004575757575757577
56772,0.029943448498388876,0.03542697810360447
56907,0.0885724409448819,0.08634545454545454
57184,0.001,0.001
58050,0.45488976377952756,0.45754545454545453
58109,0.004094535346388354,0.0048196497929220905
58244,0.16853753280839895,0.16779393939393938
58521,0.01295538057742782,0.012424242424242423
59387,0.7328372703412074,0.739969696969697
59446,0.030967794505469944,0.037812692184522836
59581,0.10860918635170604,0.10662121212121212
59858,0.03165616797900263,0.028696969696969707
60724,0.9610577427821522,0.9628787878787878
60783,0.28483887946842584,0.30688209663697674
60918,0.009945931758530183,0.009642424242424242
61195,0.0034540682414698166,0.0037575757575757573
62061,0.7922755905511811,0.7952727272727272
62120,0.019640653233114456,0.023054734342728513
62255,0.12198451443569552,0.11786060606060604
62532,0.03795538057742781,0.03260606060606059
62855,1.0060447960629921,1.0175389045454546
63398,0.985,0.985
63457,0.4703341207349081,0.5334333333333333
63592,0.005916535433070866,0.005518181818181818
64192,0.9735364997375328,0.9790298757575758
64735,0.928721784776903,0.9322121212121213
64794,0.14110385800044284,0.16336694962040557
64882,0.00023063779527559056,0.00019118181818181818
64929,0.006048293963254594,0.005687878787878789
65206,0.001,0.001
66866,0.998320182152231,1.0012532787878787
